ip,status,bytes_sent,hour,day_of_week,is_night,is_api_call,is_admin_call,endpoint_length,is_error,is_success,is_redirect,ua_length,ua_is_missing,ua_has_bot_like_keyword,ua_has_browser_keyword,referrer_is_missing,referrer_is_internal,ml_pred,final_prediction
113.199.229.4,206,3770055,4,2,1,0,0,46,0,1,0,125,0,0,1,0,0,0,0
27.34.66.95,200,601,4,2,1,0,0,31,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,101,1005,4,2,1,0,0,17,0,0,0,111,0,0,1,1,0,1,1
27.34.66.95,200,336,4,2,1,0,0,23,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,586,4,2,1,0,0,22,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,1427,4,2,1,0,0,29,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,18052,4,2,1,0,0,11,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,663820,4,2,1,0,0,33,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,1244704,4,2,1,0,0,27,0,1,0,111,0,0,1,0,0,0,0
35.233.68.216,200,601,4,2,1,0,0,1,0,1,0,22,0,1,0,1,0,1,1
113.199.229.4,206,1148615,4,2,1,0,0,46,0,1,0,125,0,0,1,0,0,0,0
196.251.114.43,200,601,4,2,1,0,0,12,0,1,0,132,0,0,1,1,0,1,1
203.202.242.20,400,166,4,2,1,0,0,65,1,0,0,1,1,0,0,1,0,1,1
203.202.242.20,400,166,4,2,1,0,0,120,1,0,0,1,1,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,76,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,65,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,51,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,47,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,43,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,39,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,46,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,58,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,44,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,40,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,36,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,32,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,48,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,44,1,0,0,15,0,0,0,1,0,1,1
